500,1500,1,1,1000,1,1000
500,1500,12,1,1001,12,1001
500,1500,4,1,1002,4,1002
1000,2000,1,1,1000,1,1000
1000,2000,12,1,1001,12,1001
1000,2000,4,1,1002,4,1002
1500,2500,1,2,2000,1,2000
1500,2500,11,2,2001,11,2001
1500,2500,16,2,2002,16,2002
2000,3000,1,2,2000,1,2000
2000,3000,11,2,2001,11,2001
2000,3000,16,2,2002,16,2002
2500,3500,1,3,3000,1,3000
2500,3500,1,3,3000,1,3003
2500,3500,1,3,3000,1,3200
2500,3500,1,3,3003,1,3000
2500,3500,1,3,3003,1,3003
2500,3500,1,3,3003,1,3200
2500,3500,1,3,3200,1,3000
2500,3500,1,3,3200,1,3003
2500,3500,1,3,3200,1,3200
2500,3500,11,3,3001,11,3001
3000,4000,1,3,3000,1,3000
3000,4000,1,3,3000,1,3003
3000,4000,1,3,3000,1,3200
3000,4000,1,3,3003,1,3000
3000,4000,1,3,3003,1,3003
3000,4000,1,3,3003,1,3200
3000,4000,1,3,3200,1,3000
3000,4000,1,3,3200,1,3003
3000,4000,1,3,3200,1,3200
3000,4000,11,3,3001,11,3001
3500,4500,1,4,4000,1,4000
4000,5000,1,4,4000,1,4000
4500,5500,1,5,5000,1,5000
5000,6000,1,5,5000,1,5000
5500,6500,1,6,6000,1,6000
6000,7000,1,6,6000,1,6000
6500,7500,1,7,7000,1,7000
7000,8000,1,7,7000,1,7000
7500,8500,1,8,8000,1,8000
8000,9000,1,8,8000,1,8000
8500,9500,1,9,9000,1,9000
9000,10000,1,9,9000,1,9000
9500,10500,1,10,10000,1,10000
10000,11000,1,10,10000,1,10000
10500,11500,1,11,11000,1,11000
11000,12000,1,11,11000,1,11000
11500,12500,1,12,12000,1,12000
12000,13000,1,12,12000,1,12000
12500,13500,1,13,13000,1,13000
13000,14000,1,13,13000,1,13000
13500,14500,1,14,14000,1,14000
14000,15000,1,14,14000,1,14000
14500,15500,1,15,15000,1,15000
15000,16000,1,15,15000,1,15000
15500,16500,1,16,16000,1,16000
16000,17000,1,16,16000,1,16000
16500,17500,1,17,17000,1,17000
17000,18000,1,17,17000,1,17000
17500,18500,1,18,18000,1,18000
18000,19000,1,18,18000,1,18000
18500,19500,1,19,19000,1,19000
19000,20000,1,19,19000,1,19000
19500,20500,1,20,20000,1,20000
20000,21000,1,20,20000,1,20000
20500,21500,1,21,21000,1,21000
21000,22000,1,21,21000,1,21000
